Date,CCI Value,CCI Rolling Mean,CCI Rolling Percent Change,CPI Value,CPI Rolling Mean,CPI Rolling Percent Change,Unemployment Rate (%),Unemployment Rate (%) Rolling Mean,Unemployment Rate Rolling Percent Change,CCI Rolling Percent Change Flag,CPI Rolling Percent Change Flag,Unemployment Rate Rolling Percent Change Flag,Economic Climate
1991-07-01,99.61755,98.68879166666666,-1.9117479347878885,136.2,134.38333333333333,5.440041846475729,6.4,5.825,9.733124018838302,negative,positive,positive,Lean to Bad
1991-08-01,99.58176,98.73073583333333,-1.7369113074994447,136.6,134.79999999999998,5.278229742922225,6.5,5.916666666666667,11.285266457680265,negative,positive,positive,Lean to Bad
1991-09-01,99.38139,98.81800249999999,-1.4430543164188014,137.0,135.17499999999998,5.044683331174693,6.6,6.016666666666667,12.989045383411568,negative,positive,positive,Lean to Bad
1991-10-01,98.90459,98.915105,-1.0905419058117038,137.2,135.49166666666665,4.748099471717548,6.7,6.116666666666667,14.508580343213762,negative,positive,positive,Lean to Bad
1991-11-01,98.31365,98.980565,-0.7607049258356535,137.8,135.83333333333334,4.487179487179493,6.8,6.2250000000000005,16.17418351477451,negative,positive,positive,Lean to Bad
1991-12-01,97.96596,99.01169916666667,-0.47515821344497056,138.2,136.16666666666666,4.215830091204786,6.9,6.333333333333333,17.647058823529417,negative,positive,positive,Lean to Bad
1992-01-01,97.91716,99.00970583333333,-0.250960101633968,138.3,136.46666666666667,3.968002031617046,7.0,6.441666666666667,18.92307692307693,negative,positive,positive,Lean to Bad
1992-02-01,98.16246,98.97513666666667,-0.1136299452347056,138.6,136.78333333333333,3.7612997028889428,7.0,6.541666666666667,19.84732824427482,negative,positive,positive,Lean to Bad
1992-03-01,98.60257,98.91678666666667,-0.05514137242041972,139.1,137.14166666666665,3.6269756312574675,7.1,6.633333333333333,20.241691842900302,negative,positive,positive,Lean to Bad
1992-04-01,98.95219,98.87049499999999,0.0028421824582958166,139.4,137.5,3.4936962930439686,7.1,6.716666666666666,20.298507462686555,positive,positive,positive,Lean to Bad
1992-05-01,99.15125,98.84221416666666,0.06964846075661058,139.7,137.84166666666667,3.3295852073963017,7.2,6.8,20.176730486008807,positive,positive,positive,Lean to Bad
1992-06-01,99.15711,98.80896999999999,0.10186229631803378,140.1,138.18333333333334,3.192482419565623,7.3,6.883333333333333,19.88388969521042,positive,positive,positive,Lean to Bad
1992-07-01,98.98209,98.756015,0.0681164823259861,140.5,138.54166666666666,3.094381743767838,7.3,6.958333333333332,19.456366237482104,positive,positive,positive,Lean to Bad
1992-08-01,98.82939,98.69331749999999,-0.037899376539141105,140.8,138.89166666666668,3.035361028684491,7.4,7.033333333333334,18.873239436619716,negative,positive,positive,Lean to Bad
